"14-09-2017","Gravity","C8","21h00","3.7%"
"14-09-2017","Vol 93","TF1 Séries Films","21h00","3.6%"
"14-09-2017","Cold Case","France 4","Unknown","2.9%"
"14-09-2017","La grande librairie","France 5","20h50","2.5%"
"14-09-2017","Kim Kong","ARTE","20h55","2.5%"
"14-09-2017","Secret Story","TFX","21h00","1.8%"
"14-09-2017","Paul","NRJ 12","20h55","1.8%"
"14-09-2017","Tonnerre sous les tropiques","CSTAR","20h50","1.6%"
"14-09-2017","Départ immédiat","6ter","21h00","1.4%"
"14-09-2017","Half Light","Chérie 25","20h55","1.4%"
"14-09-2017","Titans des mers, les croisières","RMC","Unknown","1.2%"
"14-09-2017","Non élucidé","Numéro 23","20h55","1.2%"
"14-09-2017","Les trésors du livre des records","Gulli","20h55","0.9%"
"14-09-2017","Solidarité Antilles","France Ô","20h55","0.1%"
"15-09-2017","Koh-Lanta","TF1","21h00","24.9%"
"15-09-2017","Les petits meurtres d'Agatha Christie","France 2","21h00","20.5%"
"15-09-2017","NCIS : enquêtes spéciales","M6","Unknown","12%"
"15-09-2017","Jean-Jacques Goldman de l'intérieur","France 3","20h55","7.7%"
"15-09-2017","Enquête d'action","W9","21h00","3.6%"
"15-09-2017","Paris Ã  nous les Jeux ! Le grand concert","C8","20h55","2.7%"
"15-09-2017","La maison France 5","France 5","20h50","2.4%"
"15-09-2017","Mentalist","TMC","21h00","1.9%"
"15-09-2017","Un séminaire mortel","ARTE","20h55","1.8%"
"15-09-2017","Super Nanny","TFX","21h00","1.8%"
"15-09-2017","Football","CSTAR","Unknown","1.7%"
"15-09-2017","Une villa pour deux","Chérie 25","20h55","1.7%"
"15-09-2017","Nazi Megastructures","RMC","20h50","1.6%"
"15-09-2017","Diane, femme flic","NRJ 12","20h55","1.1%"
"15-09-2017","Meurtres au paradis","France Ô","20h55","1.1%"
"15-09-2017","Planète dinosaures","France 4","20h55","1.1%"
"15-09-2017","Les musiciens de Brême","Gulli","Unknown","1%"
"15-09-2017","Soupçon de magie","6ter","21h00","0.9%"
"15-09-2017","Navy Seals, les commandos secrets de l'Amérique","Numéro 23","20h55","0.8%"
"15-09-2017","Clem","TF1 Séries Films","21h00","1.00%"
"16-09-2017","The Voice Kids","TF1","21h00","25.1%"
"16-09-2017","Les mystères de l'île","France 3","20h55","16.6%"
"16-09-2017","Le plus grand cabaret du monde","France 2","21h00","13.9%"
"16-09-2017","Bones","M6","21h00","8.1%"
"16-09-2017","Echappées belles","France 5","20h55","4%"
"16-09-2017","Les Simpson","W9","21h00","3.1%"
"16-09-2017","Un jour en France","ARTE","20h50","3.1%"
"16-09-2017","Columbo","TMC","21h00","2.2%"
"16-09-2017","Gaspard Proust tapine","C8","21h00","2.2%"
"16-09-2017","Chroniques criminelles","TFX","21h00","2.1%"
"16-09-2017","Rénovation impossible","6ter","21h00","1.5%"
"16-09-2017","Barbie et ses soeurs : A la recherche des chiots","Gulli","20h55","1.3%"
"16-09-2017","Ma vie sauvage","RMC","Unknown","1.2%"
"16-09-2017","Mémoire d'enfant","Chérie 25","20h55","1.2%"
"16-09-2017","Scientastik","France 4","20h55","1.1%"
"16-09-2017","Dr House","TF1 Séries Films","21h00","1%"
"16-09-2017","Une famille formidable","NRJ 12","20h55","1%"
"16-09-2017","La story d'Indochine : l'aventure continue","CSTAR","20h50","0.9%"
"16-09-2017","Jusqu'au bout du monde","France Ô","20h55","0.7%"
"16-09-2017","Babylone","Numéro 23","20h55","0.6%"
"17-09-2017","Diversion","TF1","21h00","18.1%"
"17-09-2017","Les enquêtes de Murdoch","France 3","20h55","14%"
"17-09-2017","Paulette","France 2","21h05","13.1%"
"17-09-2017","Zone interdite","M6","21h00","11.1%"
"17-09-2017","Apocalypse Now Redux","ARTE","20h55","5.3%"
"17-09-2017","Patrimoine français : adjugé, vendu","France 5","20h55","3.7%"
"17-09-2017","Effets secondaires","France 4","20h55","2.7%"
"17-09-2017","La vérité si je mens !","W9","21h00","2.6%"
"17-09-2017","Les experts : Miami","TMC","21h00","2.4%"
"17-09-2017","Témoin gênant","C8","21h00","2.4%"
"17-09-2017","X-Men 2","6ter","21h00","2.4%"
"17-09-2017","Une femme d'honneur","Chérie 25","20h55","1.6%"
"17-09-2017","La délicatesse","TF1 Séries Films","21h00","1.6%"
"17-09-2017","Daredevil","TFX","21h00","1.4%"
"17-09-2017","Lucifer","CSTAR","20h50","1.3%"
"17-09-2017","Cleaner","NRJ 12","20h55","1.3%"
"17-09-2017","39-45 : les grandes inventions","RMC","20h50","1.1%"
"17-09-2017","C'est pas sorcier","Gulli","20h55","0.8%"
"17-09-2017","A l'origine","Numéro 23","20h55","0.5%"
"17-09-2017","Patrick Saint-Eloi, la légende","France Ô","20h55","0.2%"
"18-09-2017","La mante","TF1","21h00","19.8%"
"18-09-2017","L'amour est dans le pré","M6","21h00","18.4%"
"18-09-2017","Rizzoli & Isles","France 2","21h00","13.4%"
"18-09-2017","True Grit","France 3","20h55","7.4%"
"18-09-2017","Les ailes de l'enfer","W9","21h00","4.8%"
"18-09-2017","Chappie","TMC","21h00","3.1%"
"18-09-2017","Matrix Revolutions","C8","21h00","3%"
"18-09-2017","Appels d'urgence","TFX","21h00","2.9%"
"18-09-2017","Gandhi","France 5","20h55","2.8%"
"18-09-2017","Football","CSTAR","Unknown","2.2%"
"18-09-2017","Ils s'aiment depuis 20 ans","France 4","20h55","2.1%"
"18-09-2017","Le plus sauvage d'entre tous","ARTE","20h50","2.1%"
